antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski,antecedents_str,consequents_str,rule_str
frozenset({'WOODEN HEART CHRISTMAS SCANDINAVIAN'}),frozenset({'WOODEN STAR CHRISTMAS SCANDINAVIAN'}),0.02824482548138283,0.026580100993285612,0.020420620387325897,0.7229862475442044,27.200282185791455,1.0,0.019669870073493016,3.51397679854197,0.9912328750968282,0.5935483870967742,0.7154221392654263,0.7456267354631252,WOODEN HEART CHRISTMAS SCANDINAVIAN,WOODEN STAR CHRISTMAS SCANDINAVIAN,WOODEN HEART CHRISTMAS SCANDINAVIAN → WOODEN STAR CHRISTMAS SCANDINAVIAN
frozenset({'WOODEN STAR CHRISTMAS SCANDINAVIAN'}),frozenset({'WOODEN HEART CHRISTMAS SCANDINAVIAN'}),0.026580100993285612,0.02824482548138283,0.020420620387325897,0.7682672233820459,27.20028218579145,1.0,0.019669870073493016,4.193429987337095,0.9895376871904945,0.5935483870967742,0.7615317286756423,0.7456267354631252,WOODEN STAR CHRISTMAS SCANDINAVIAN,WOODEN HEART CHRISTMAS SCANDINAVIAN,WOODEN STAR CHRISTMAS SCANDINAVIAN → WOODEN HEART CHRISTMAS SCANDINAVIAN
"frozenset({'GREEN REGENCY TEACUP AND SAUCER', 'ROSES REGENCY TEACUP AND SAUCER '})",frozenset({'PINK REGENCY TEACUP AND SAUCER'}),0.038843571388935134,0.03895455302147494,0.027301481604794408,0.7028571428571428,18.043003663003663,1.0,0.02578834764358069,3.234287561946959,0.9827503904044295,0.5406593406593407,0.6908128974784093,0.7018559218559219,"GREEN REGENCY TEACUP AND SAUCER, ROSES REGENCY TEACUP AND SAUCER ",PINK REGENCY TEACUP AND SAUCER,"GREEN REGENCY TEACUP AND SAUCER, ROSES REGENCY TEACUP AND SAUCER  → PINK REGENCY TEACUP AND SAUCER"
frozenset({'PINK REGENCY TEACUP AND SAUCER'}),"frozenset({'GREEN REGENCY TEACUP AND SAUCER', 'ROSES REGENCY TEACUP AND SAUCER '})",0.03895455302147494,0.038843571388935134,0.027301481604794408,0.7008547008547009,18.043003663003663,1.0,0.02578834764358069,3.2130086327855603,0.9828638785261923,0.5406593406593407,0.6887652308817369,0.7018559218559219,PINK REGENCY TEACUP AND SAUCER,"GREEN REGENCY TEACUP AND SAUCER, ROSES REGENCY TEACUP AND SAUCER ","PINK REGENCY TEACUP AND SAUCER → GREEN REGENCY TEACUP AND SAUCER, ROSES REGENCY TEACUP AND SAUCER "
"frozenset({'PINK REGENCY TEACUP AND SAUCER', 'ROSES REGENCY TEACUP AND SAUCER '})",frozenset({'GREEN REGENCY TEACUP AND SAUCER'}),0.030242494867099495,0.05171744076355363,0.027301481604794408,0.9027522935779817,17.45547111863606,1.0,0.025737417167963114,9.751207448752142,0.9721104157711296,0.4994923857868021,0.8974485974936397,0.7153246446430681,"PINK REGENCY TEACUP AND SAUCER, ROSES REGENCY TEACUP AND SAUCER ",GREEN REGENCY TEACUP AND SAUCER,"PINK REGENCY TEACUP AND SAUCER, ROSES REGENCY TEACUP AND SAUCER  → GREEN REGENCY TEACUP AND SAUCER"
frozenset({'GREEN REGENCY TEACUP AND SAUCER'}),"frozenset({'PINK REGENCY TEACUP AND SAUCER', 'ROSES REGENCY TEACUP AND SAUCER '})",0.05171744076355363,0.030242494867099495,0.027301481604794408,0.5278969957081545,17.45547111863606,1.0,0.025737417167963114,2.054122715417871,0.9941249708008812,0.4994923857868021,0.5131741679821843,0.7153246446430681,GREEN REGENCY TEACUP AND SAUCER,"PINK REGENCY TEACUP AND SAUCER, ROSES REGENCY TEACUP AND SAUCER ","GREEN REGENCY TEACUP AND SAUCER → PINK REGENCY TEACUP AND SAUCER, ROSES REGENCY TEACUP AND SAUCER "
frozenset({'ROSES REGENCY TEACUP AND SAUCER '}),"frozenset({'PINK REGENCY TEACUP AND SAUCER', 'GREEN REGENCY TEACUP AND SAUCER'})",0.05304922035403141,0.031962710171466624,0.027301481604794408,0.5146443514644352,16.101399058577407,1.0,0.025605884749796234,1.9944906230087889,0.9904354226665618,0.4730769230769231,0.4986188511172592,0.684405509065551,ROSES REGENCY TEACUP AND SAUCER ,"GREEN REGENCY TEACUP AND SAUCER, PINK REGENCY TEACUP AND SAUCER","ROSES REGENCY TEACUP AND SAUCER  → GREEN REGENCY TEACUP AND SAUCER, PINK REGENCY TEACUP AND SAUCER"
"frozenset({'PINK REGENCY TEACUP AND SAUCER', 'GREEN REGENCY TEACUP AND SAUCER'})",frozenset({'ROSES REGENCY TEACUP AND SAUCER '}),0.031962710171466624,0.05304922035403141,0.027301481604794408,0.8541666666666666,16.101399058577403,1.0,0.025605884749796234,6.493376774715212,0.9688610196506092,0.4730769230769231,0.8459969235276882,0.684405509065551,"GREEN REGENCY TEACUP AND SAUCER, PINK REGENCY TEACUP AND SAUCER",ROSES REGENCY TEACUP AND SAUCER ,"GREEN REGENCY TEACUP AND SAUCER, PINK REGENCY TEACUP AND SAUCER → ROSES REGENCY TEACUP AND SAUCER "
frozenset({'GREEN REGENCY TEACUP AND SAUCER'}),frozenset({'PINK REGENCY TEACUP AND SAUCER'}),0.05171744076355363,0.03895455302147494,0.031962710171466624,0.6180257510729614,15.865302079894358,1.0,0.029948080383107784,2.5159953836628803,0.9880698109895255,0.5444234404536863,0.6025429909397677,0.7192692857928911,GREEN REGENCY TEACUP AND SAUCER,PINK REGENCY TEACUP AND SAUCER,GREEN REGENCY TEACUP AND SAUCER → PINK REGENCY TEACUP AND SAUCER
frozenset({'PINK REGENCY TEACUP AND SAUCER'}),frozenset({'GREEN REGENCY TEACUP AND SAUCER'}),0.03895455302147494,0.05171744076355363,0.031962710171466624,0.8205128205128206,15.865302079894356,1.0,0.029948080383107784,5.2832885443173465,0.9749480339511519,0.5444234404536863,0.810723947478585,0.7192692857928911,PINK REGENCY TEACUP AND SAUCER,GREEN REGENCY TEACUP AND SAUCER,PINK REGENCY TEACUP AND SAUCER → GREEN REGENCY TEACUP AND SAUCER
